Slug	ID	Title	QPos	AR	Subgroups
previous-permutation-with-one-swap	1053	Previous Permutation With One Swap	Q3	49.2%	Greedy/Part I
number-of-operations-to-make-network-connected	1319	Number of Operations to Make Network Connected	Q3	66.6%	Graphs/Disjoint Set Union; Graphs/Graph Representation
reorder-routes-to-make-all-paths-lead-to-the-city-zero	1466	Reorder Routes to Make All Paths Lead to the City Zero	Q3	65.8%	Graphs/Graph Representation
minimum-number-of-operations-to-sort-a-binary-tree-by-level	2471	Minimum Number of Operations to Sort a Binary Tree by Level	Q3	74.2%	Binary Tree/Implementary
shortest-uncommon-substring-in-an-array	3076	Shortest Uncommon Substring in an Array	Q3	50.7%	Tries/Trie involving String; Hashing/Implementary Problems
merge-triplets-to-form-target-triplet	1899	Merge Triplets to Form Target Triplet	Q3	69.1%	Greedy/Part I
largest-palindromic-number	2384	Largest Palindromic Number	Q2	37.2%	Greedy/Part I; Hashing/Implementary Problems
cinema-seat-allocation	1386	Cinema Seat Allocation	Q2	44.6%	Greedy/Part I; Hashing/Implementary Problems; Bit Manipulation/Basic Bit Concepts
minimum-numbers-of-function-calls-to-make-target-array	1558	Minimum Numbers of Function Calls to Make Target Array	Q3	62.8%	Greedy/Part I; Bit Manipulation/Basic Bit Concepts
reward-top-k-students	2512	Reward Top K Students	Q2	47.1%	Heap (Priority Queue)/Implementary Questions; Hashing/Implementary Problems; Sorting/Implementary
nearest-exit-from-entrance-in-maze	1926	Nearest Exit from Entrance in Maze	Q2	48.6%	Matrix/Implementary
maximum-beauty-of-an-array-after-applying-operation	2779	Maximum Beauty of an Array After Applying Operation	Q2	58.4%	Binary Search/Upper Bound and Lower Bound; Sliding Window/Dynamic Size Sliding-Window; Sorting/Implementary
push-dominoes	838	Push Dominoes	Q2	63.0%	Dynamic Programming Level 1/DP on String; Dynamic Programming Level 1/Linear DP; Graphs/Multi Source BFS; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays
satisfiability-of-equality-equations	990	Satisfiability of Equality Equations	Q2	51.9%	Graphs/Disjoint Set Union; Graphs/Graph Representation
minimum-time-to-complete-trips	2187	Minimum Time to Complete Trips	Q3	39.8%	Binary Search/Upper Bound and Lower Bound
minimum-deletions-to-make-array-divisible	2344	Minimum Deletions to Make Array Divisible	Q4	61.4%	Heap (Priority Queue)/Implementary Questions; Sorting/Implementary
largest-combination-with-bitwise-and-greater-than-zero	2275	Largest Combination With Bitwise AND Greater Than Zero	Q3	80.8%	Hashing/Implementary Problems; Bit Manipulation/Basic Bit Concepts
construct-smallest-number-from-di-string	2375	Construct Smallest Number From DI String	Q3	85.6%	Stack/Stack with String; Stack/Implementary Stack; Greedy/Part I; Recursion & Backtracking/Recursion Problems
minimize-maximum-component-cost	3613	Minimize Maximum Component Cost	Q2	43.6%	Graphs/Disjoint Set Union; Graphs/Graph Representation; Binary Search/Upper Bound and Lower Bound; Sorting/Implementary
maximize-the-confusion-of-an-exam	2024	Maximize the Confusion of an Exam	Q3	70.0%	Binary Search/Upper Bound and Lower Bound; Sliding Window/Dynamic Size Sliding-Window; Prefix Sum/Implementary
create-binary-tree-from-descriptions	2196	Create Binary Tree From Descriptions	Q3	81.7%	Hashing/Implementary Problems; Binary Tree/Implementary
number-of-substrings-containing-all-three-characters	1358	Number of Substrings Containing All Three Characters	Q3	73.7%	Hashing/Implementary Problems; Sliding Window/Dynamic Size Sliding-Window
maximum-candies-allocated-to-k-children	2226	Maximum Candies Allocated to K Children	Q3	49.9%	Binary Search/Upper Bound and Lower Bound
maximum-matrix-sum	1975	Maximum Matrix Sum	Q2	67.5%	Greedy/Part I; Matrix/Implementary
remove-letter-to-equalize-frequency	2423	Remove Letter To Equalize Frequency	Q1	19.4%	Hashing/Implementary Problems
design-exam-scores-tracker	3709	Design Exam Scores Tracker	Q3	44.2%	Binary Search/Upper Bound and Lower Bound; Prefix Sum/Implementary
advantage-shuffle	870	Advantage Shuffle	Q3	54.6%	Greedy/Part I; 2 Pointers/Two Pointer on Arrays; Sorting/Implementary
