Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
remove-sub-folders-from-the-filesystem	1233	Remove Sub-Folders from the Filesystem	direct	Depth-First Search|Trie|Array|String	Sorting|Trie	1233_remove-sub-folders-from-the-filesystem.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1233.Remove%20Sub-Folders%20from%20the%20Filesystem/README_EN.md
valid-tic-tac-toe-state	794	Valid Tic-Tac-Toe State	direct	Array|Matrix	<!-- tabs:start -->	0794_valid-tic-tac-toe-state.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0794.Valid%20Tic-Tac-Toe%20State/README_EN.md
check-if-it-is-possible-to-split-array	2811	Check if it is Possible to Split Array	direct	Greedy|Array|Dynamic Programming	Memoization Search|Quick Thinking	2811_check-if-it-is-possible-to-split-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2811.Check%20if%20it%20is%20Possible%20to%20Split%20Array/README_EN.md
largest-triangle-area	812	Largest Triangle Area	direct	Geometry|Array|Math		0812_largest-triangle-area.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0812.Largest%20Triangle%20Area/README_EN.md
find-the-smallest-divisor-given-a-threshold	1283	Find the Smallest Divisor Given a Threshold	direct	Array|Binary Search	Binary Search	1283_find-the-smallest-divisor-given-a-threshold.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1283.Find%20the%20Smallest%20Divisor%20Given%20a%20Threshold/README_EN.md
interval-list-intersections	986	Interval List Intersections	direct	Array|Two Pointers|Sweep Line	<!-- tabs:start -->	0986_interval-list-intersections.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0986.Interval%20List%20Intersections/README_EN.md
maximum-absolute-sum-of-any-subarray	1749	Maximum Absolute Sum of Any Subarray	direct	Array|Dynamic Programming	Dynamic Programming	1749_maximum-absolute-sum-of-any-subarray.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1749.Maximum%20Absolute%20Sum%20of%20Any%20Subarray/README_EN.md
remove-all-adjacent-duplicates-in-string-ii	1209	Remove All Adjacent Duplicates in String II	direct	Stack|String	Stack	1209_remove-all-adjacent-duplicates-in-string-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1209.Remove%20All%20Adjacent%20Duplicates%20in%20String%20II/README_EN.md
fill-a-special-grid	3537	Fill a Special Grid	direct	Array|Divide and Conquer|Matrix	<!-- tabs:start -->	3537_fill-a-special-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3537.Fill%20a%20Special%20Grid/README_EN.md
find-the-divisibility-array-of-a-string	2575	Find the Divisibility Array of a String	direct	Array|Math|String	Traversal + Modulo	2575_find-the-divisibility-array-of-a-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2575.Find%20the%20Divisibility%20Array%20of%20a%20String/README_EN.md
minimum-domino-rotations-for-equal-row	1007	Minimum Domino Rotations For Equal Row	direct	Greedy|Array	Greedy	1007_minimum-domino-rotations-for-equal-row.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1007.Minimum%20Domino%20Rotations%20For%20Equal%20Row/README_EN.md
meeting-scheduler	1229	Meeting Scheduler	direct	Array|Two Pointers|Sorting	Sorting + Two Pointers	1229_meeting-scheduler.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1229.Meeting%20Scheduler/README_EN.md
right-triangles	3128	Right Triangles	direct	Array|Hash Table|Math|Combinatorics|Counting	Counting + Enumeration	3128_right-triangles.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3128.Right%20Triangles/README_EN.md
balance-a-binary-search-tree	1382	Balance a Binary Search Tree	direct	Greedy|Tree|Depth-First Search|Binary Search Tree|Divide and Conquer|Binary Tree	In-order Traversal + Construct Balanced Binary Search Tree	1382_balance-a-binary-search-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1382.Balance%20a%20Binary%20Search%20Tree/README_EN.md
design-a-number-container-system	2349	Design a Number Container System	direct	Design|Hash Table|Ordered Set|Heap (Priority Queue)	Hash Table + Ordered Set	2349_design-a-number-container-system.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2349.Design%20a%20Number%20Container%20System/README_EN.md
find-all-groups-of-farmland	1992	Find All Groups of Farmland	direct	Depth-First Search|Breadth-First Search|Array|Matrix	<!-- tabs:start -->	1992_find-all-groups-of-farmland.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1992.Find%20All%20Groups%20of%20Farmland/README_EN.md
maximum-split-of-positive-even-integers	2178	Maximum Split of Positive Even Integers	direct	Greedy|Math|Backtracking	Greedy	2178_maximum-split-of-positive-even-integers.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2178.Maximum%20Split%20of%20Positive%20Even%20Integers/README_EN.md
camelcase-matching	1023	Camelcase Matching	direct	Trie|Array|Two Pointers|String|String Matching	Two Pointers	1023_camelcase-matching.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1023.Camelcase%20Matching/README_EN.md
rotating-the-box	1861	Rotating the Box	direct	Array|Two Pointers|Matrix	Queue Simulation	1861_rotating-the-box.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1861.Rotating%20the%20Box/README_EN.md
high-access-employees	2933	High-Access Employees	direct	Array|Hash Table|String|Sorting	Hash Table + Sorting	2933_high-access-employees.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2933.High-Access%20Employees/README_EN.md
maximize-sum-of-squares-of-digits	3723	Maximize Sum of Squares of Digits	direct	Greedy|Math	Greedy	3723_maximize-sum-of-squares-of-digits.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3723.Maximize%20Sum%20of%20Squares%20of%20Digits/README_EN.md
length-of-longest-subarray-with-at-most-k-frequency	2958	Length of Longest Subarray With at Most K Frequency	direct	Array|Hash Table|Sliding Window	Two Pointers	2958_length-of-longest-subarray-with-at-most-k-frequency.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2958.Length%20of%20Longest%20Subarray%20With%20at%20Most%20K%20Frequency/README_EN.md
integers-with-multiple-sum-of-two-cubes	3890	Integers With Multiple Sum of Two Cubes	direct	Hash Table|Counting|Enumeration|Sorting	Preprocessing + Binary Search	3890_integers-with-multiple-sum-of-two-cubes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3890.Integers%20With%20Multiple%20Sum%20of%20Two%20Cubes/README_EN.md
smallest-subtree-with-all-the-deepest-nodes	865	Smallest Subtree with all the Deepest Nodes	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table|Binary Tree	Recursion	0865_smallest-subtree-with-all-the-deepest-nodes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0865.Smallest%20Subtree%20with%20all%20the%20Deepest%20Nodes/README_EN.md
design-authentication-manager	1797	Design Authentication Manager	direct	Design|Hash Table|Linked List|Doubly-Linked List	Hash Table	1797_design-authentication-manager.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1797.Design%20Authentication%20Manager/README_EN.md
closest-divisors	1362	Closest Divisors	direct	Math	Enumeration	1362_closest-divisors.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1362.Closest%20Divisors/README_EN.md
minimum-number-of-pushes-to-type-word-ii	3016	Minimum Number of Pushes to Type Word II	direct	Greedy|Hash Table|String|Counting|Sorting	Greedy Algorithm + Sorting	3016_minimum-number-of-pushes-to-type-word-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3016.Minimum%20Number%20of%20Pushes%20to%20Type%20Word%20II/README_EN.md
maximum-number-of-jumps-to-reach-the-last-index	2770	Maximum Number of Jumps to Reach the Last Index	direct	Array|Dynamic Programming	Memoization	2770_maximum-number-of-jumps-to-reach-the-last-index.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2770.Maximum%20Number%20of%20Jumps%20to%20Reach%20the%20Last%20Index/README_EN.md
unique-length-3-palindromic-subsequences	1930	Unique Length-3 Palindromic Subsequences	direct	Bit Manipulation|Hash Table|String|Prefix Sum	Enumerate Both End Characters + Hash Table	1930_unique-length-3-palindromic-subsequences.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1930.Unique%20Length-3%20Palindromic%20Subsequences/README_EN.md
minimize-xor	2429	Minimize XOR	direct	Greedy|Bit Manipulation	Greedy + Bit Manipulation	2429_minimize-xor.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2429.Minimize%20XOR/README_EN.md
rle-iterator	900	RLE Iterator	direct	Design|Array|Counting|Iterator	Maintain Two Pointers	0900_rle-iterator.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0900.RLE%20Iterator/README_EN.md
minimum-k-to-reduce-array-within-limit	3824	Minimum K to Reduce Array Within Limit	direct	Array|Binary Search	Binary Search	3824_minimum-k-to-reduce-array-within-limit.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3824.Minimum%20K%20to%20Reduce%20Array%20Within%20Limit/README_EN.md
distribute-money-to-maximum-children	2591	Distribute Money to Maximum Children	direct	Greedy|Math	Case analysis	2591_distribute-money-to-maximum-children.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2591.Distribute%20Money%20to%20Maximum%20Children/README_EN.md
construct-k-palindrome-strings	1400	Construct K Palindrome Strings	direct	Greedy|Hash Table|String|Counting	Counting	1400_construct-k-palindrome-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1400.Construct%20K%20Palindrome%20Strings/README_EN.md
determine-if-two-strings-are-close	1657	Determine if Two Strings Are Close	direct	Hash Table|String|Counting|Sorting	Counting + Sorting	1657_determine-if-two-strings-are-close.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1657.Determine%20if%20Two%20Strings%20Are%20Close/README_EN.md
tuple-with-same-product	1726	Tuple with Same Product	direct	Array|Hash Table|Counting	Combination + Hash Table	1726_tuple-with-same-product.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1726.Tuple%20with%20Same%20Product/README_EN.md
boats-to-save-people	881	Boats to Save People	direct	Greedy|Array|Two Pointers|Sorting	Greedy + Two Pointers	0881_boats-to-save-people.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0881.Boats%20to%20Save%20People/README_EN.md
maximum-product-of-three-elements-after-one-replacement	3732	Maximum Product of Three Elements After One Replacement	direct	Greedy|Array|Math|Sorting	Sorting	3732_maximum-product-of-three-elements-after-one-replacement.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3732.Maximum%20Product%20of%20Three%20Elements%20After%20One%20Replacement/README_EN.md
maximum-erasure-value	1695	Maximum Erasure Value	direct	Array|Hash Table|Sliding Window	Array or Hash Table + Prefix Sum|Two Pointers (Sliding Window)	1695_maximum-erasure-value.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1695.Maximum%20Erasure%20Value/README_EN.md
eliminate-maximum-number-of-monsters	1921	Eliminate Maximum Number of Monsters	direct	Greedy|Array|Sorting	Sorting + Greedy	1921_eliminate-maximum-number-of-monsters.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1921.Eliminate%20Maximum%20Number%20of%20Monsters/README_EN.md
minimum-equal-sum-of-two-arrays-after-replacing-zeros	2918	Minimum Equal Sum of Two Arrays After Replacing Zeros	direct	Greedy|Array	Case Analysis	2918_minimum-equal-sum-of-two-arrays-after-replacing-zeros.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2918.Minimum%20Equal%20Sum%20of%20Two%20Arrays%20After%20Replacing%20Zeros/README_EN.md
count-artifacts-that-can-be-extracted	2201	Count Artifacts That Can Be Extracted	direct	Array|Hash Table|Simulation	Hash Table	2201_count-artifacts-that-can-be-extracted.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2201.Count%20Artifacts%20That%20Can%20Be%20Extracted/README_EN.md
remove-interval	1272	Remove Interval	direct	Array	Case Discussion	1272_remove-interval.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1272.Remove%20Interval/README_EN.md
sort-vowels-by-frequency	3913	Sort Vowels by Frequency	direct		Counting + Custom Sorting	3913_sort-vowels-by-frequency.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3900-3999/3913.Sort%20Vowels%20by%20Frequency/README_EN.md
minimum-number-of-operations-to-make-array-xor-equal-to-k	2997	Minimum Number of Operations to Make Array XOR Equal to K	direct	Bit Manipulation|Array	Bit Manipulation	2997_minimum-number-of-operations-to-make-array-xor-equal-to-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2997.Minimum%20Number%20of%20Operations%20to%20Make%20Array%20XOR%20Equal%20to%20K/README_EN.md
count-triplets-that-can-form-two-arrays-of-equal-xor	1442	Count Triplets That Can Form Two Arrays of Equal XOR	direct	Bit Manipulation|Array|Hash Table|Math|Prefix Sum	Enumeration	1442_count-triplets-that-can-form-two-arrays-of-equal-xor.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1442.Count%20Triplets%20That%20Can%20Form%20Two%20Arrays%20of%20Equal%20XOR/README_EN.md
check-array-formation-through-concatenation	1640	Check Array Formation Through Concatenation	direct	Array|Hash Table	<!-- tabs:start -->|<!-- tabs:start -->	1640_check-array-formation-through-concatenation.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1640.Check%20Array%20Formation%20Through%20Concatenation/README_EN.md
design-spreadsheet	3484	Design Spreadsheet	direct	Design|Array|Hash Table|String|Matrix	Hash Table	3484_design-spreadsheet.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3484.Design%20Spreadsheet/README_EN.md
maximum-xor-for-each-query	1829	Maximum XOR for Each Query	direct	Bit Manipulation|Array|Prefix Sum	Bitwise Operation + Enumeration|Enumeration Optimization	1829_maximum-xor-for-each-query.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1829.Maximum%20XOR%20for%20Each%20Query/README_EN.md
special-array-ii	3152	Special Array II	direct	Array|Binary Search|Prefix Sum	Record the Leftmost Special Array Position for Each Position	3152_special-array-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3152.Special%20Array%20II/README_EN.md
maximal-network-rank	1615	Maximal Network Rank	direct	Graph	Counting	1615_maximal-network-rank.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1615.Maximal%20Network%20Rank/README_EN.md
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k	3091	Apply Operations to Make Sum of Array Greater Than or Equal to k	direct	Greedy|Math|Enumeration	Enumeration	3091_apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3091.Apply%20Operations%20to%20Make%20Sum%20of%20Array%20Greater%20Than%20or%20Equal%20to%20k/README_EN.md
longest-nice-substring	1763	Longest Nice Substring	direct	Bit Manipulation|Hash Table|String|Divide and Conquer|Sliding Window	<!-- tabs:start -->|<!-- tabs:start -->	1763_longest-nice-substring.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1763.Longest%20Nice%20Substring/README_EN.md
robot-bounded-in-circle	1041	Robot Bounded In Circle	direct	Math|String|Simulation	Simulation	1041_robot-bounded-in-circle.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1041.Robot%20Bounded%20In%20Circle/README_EN.md
find-polygon-with-the-largest-perimeter	2971	Find Polygon With the Largest Perimeter	direct	Greedy|Array|Prefix Sum|Sorting	<!-- tabs:start -->	2971_find-polygon-with-the-largest-perimeter.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2971.Find%20Polygon%20With%20the%20Largest%20Perimeter/README_EN.md
beautiful-towers-i	2865	Beautiful Towers I	direct	Stack|Array|Monotonic Stack	Enumeration|Dynamic Programming + Monotonic Stack	2865_beautiful-towers-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2865.Beautiful%20Towers%20I/README_EN.md
count-sorted-vowel-strings	1641	Count Sorted Vowel Strings	direct	Math|Dynamic Programming|Combinatorics	<!-- tabs:start -->|<!-- tabs:start -->	1641_count-sorted-vowel-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1641.Count%20Sorted%20Vowel%20Strings/README_EN.md
find-the-maximum-factor-score-of-array	3334	Find the Maximum Factor Score of Array	direct	Array|Math|Number Theory	<!-- tabs:start -->	3334_find-the-maximum-factor-score-of-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3334.Find%20the%20Maximum%20Factor%20Score%20of%20Array/README_EN.md
count-covered-buildings	3531	Count Covered Buildings	direct	Array|Hash Table|Sorting	Hash Table + Sorting	3531_count-covered-buildings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3531.Count%20Covered%20Buildings/README_EN.md
neighboring-bitwise-xor	2683	Neighboring Bitwise XOR	direct	Bit Manipulation|Array	Bit Manipulation	2683_neighboring-bitwise-xor.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2683.Neighboring%20Bitwise%20XOR/README_EN.md
find-the-number-of-distinct-colors-among-the-balls	3160	Find the Number of Distinct Colors Among the Balls	direct	Array|Hash Table|Simulation	Double Hash Tables	3160_find-the-number-of-distinct-colors-among-the-balls.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3160.Find%20the%20Number%20of%20Distinct%20Colors%20Among%20the%20Balls/README_EN.md
global-and-local-inversions	775	Global and Local Inversions	direct	Array|Math	<!-- tabs:start -->|<!-- tabs:start -->	0775_global-and-local-inversions.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0775.Global%20and%20Local%20Inversions/README_EN.md
fruit-into-baskets	904	Fruit Into Baskets	direct	Array|Hash Table|Sliding Window	Hash Table + Sliding Window|Monotonic Variable-Length Sliding Window	0904_fruit-into-baskets.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0904.Fruit%20Into%20Baskets/README_EN.md
lexicographically-smallest-string-after-operations-with-constraint	3106	Lexicographically Smallest String After Operations With Constraint	direct	Greedy|String	Enumeration	3106_lexicographically-smallest-string-after-operations-with-constraint.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3106.Lexicographically%20Smallest%20String%20After%20Operations%20With%20Constraint/README_EN.md
determine-if-a-cell-is-reachable-at-a-given-time	2849	Determine if a Cell Is Reachable at a Given Time	direct	Math	Case Discussion	2849_determine-if-a-cell-is-reachable-at-a-given-time.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2849.Determine%20if%20a%20Cell%20Is%20Reachable%20at%20a%20Given%20Time/README_EN.md
maximum-distance-between-a-pair-of-values	1855	Maximum Distance Between a Pair of Values	direct	Array|Two Pointers|Binary Search	Binary Search|<!-- tabs:start -->	1855_maximum-distance-between-a-pair-of-values.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1855.Maximum%20Distance%20Between%20a%20Pair%20of%20Values/README_EN.md
rearrange-k-substrings-to-form-target-string	3365	Rearrange K Substrings to Form Target String	direct	Hash Table|String|Sorting	Hash Table	3365_rearrange-k-substrings-to-form-target-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3365.Rearrange%20K%20Substrings%20to%20Form%20Target%20String/README_EN.md
minimum-number-of-vertices-to-reach-all-nodes	1557	Minimum Number of Vertices to Reach All Nodes	direct	Graph	<!-- tabs:start -->	1557_minimum-number-of-vertices-to-reach-all-nodes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1557.Minimum%20Number%20of%20Vertices%20to%20Reach%20All%20Nodes/README_EN.md
delete-nodes-and-return-forest	1110	Delete Nodes And Return Forest	direct	Tree|Depth-First Search|Array|Hash Table|Binary Tree	DFS|BFS	1110_delete-nodes-and-return-forest.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1110.Delete%20Nodes%20And%20Return%20Forest/README_EN.md
count-special-triplets	3583	Count Special Triplets	direct	Array|Hash Table|Counting	Enumerate Middle Number + Hash Table	3583_count-special-triplets.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3583.Count%20Special%20Triplets/README_EN.md
frequency-tracker	2671	Frequency Tracker	direct	Design|Hash Table	Hash Table	2671_frequency-tracker.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2671.Frequency%20Tracker/README_EN.md
minimum-deletions-to-make-array-beautiful	2216	Minimum Deletions to Make Array Beautiful	direct	Stack|Greedy|Array	Greedy|<!-- tabs:start -->	2216_minimum-deletions-to-make-array-beautiful.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2216.Minimum%20Deletions%20to%20Make%20Array%20Beautiful/README_EN.md
minimum-deletions-to-make-character-frequencies-unique	1647	Minimum Deletions to Make Character Frequencies Unique	direct	Greedy|Hash Table|String|Sorting	Array + Sorting|<!-- tabs:start -->	1647_minimum-deletions-to-make-character-frequencies-unique.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1647.Minimum%20Deletions%20to%20Make%20Character%20Frequencies%20Unique/README_EN.md
find-the-count-of-numbers-which-are-not-special	3233	Find the Count of Numbers Which Are Not Special	direct	Array|Math|Number Theory	Mathematics	3233_find-the-count-of-numbers-which-are-not-special.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3233.Find%20the%20Count%20of%20Numbers%20Which%20Are%20Not%20Special/README_EN.md
minimum-swaps-to-group-all-1s-together	1151	Minimum Swaps to Group All 1's Together	direct	Array|Sliding Window	Sliding Window	1151_minimum-swaps-to-group-all-1s-together.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1151.Minimum%20Swaps%20to%20Group%20All%201%27s%20Together/README_EN.md
path-crossing	1496	Path Crossing	direct	Hash Table|String	<!-- tabs:start -->	1496_path-crossing.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1496.Path%20Crossing/README_EN.md
surface-area-of-3d-shapes	892	Surface Area of 3D Shapes	direct	Geometry|Array|Math|Matrix	<!-- tabs:start -->	0892_surface-area-of-3d-shapes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0892.Surface%20Area%20of%203D%20Shapes/README_EN.md
watering-plants-ii	2105	Watering Plants II	direct	Array|Two Pointers|Simulation	Two Pointers + Simulation	2105_watering-plants-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2105.Watering%20Plants%20II/README_EN.md
sort-integers-by-the-power-value	1387	Sort Integers by The Power Value	direct	Memoization|Dynamic Programming|Sorting	Custom Sorting	1387_sort-integers-by-the-power-value.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1387.Sort%20Integers%20by%20The%20Power%20Value/README_EN.md
